"CommandLine\Strings\Program.zh-CN.resx","CollectionStatusLineFull","not-updated","Full\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.zh-CN.resx","CollectionStatusLineInc","not-updated"," Inc\t{0}\t{1}\t{2}",""
"CommandLine\Strings\Program.zh-CN.resx","FailedToParseParametersFileError","not-updated","Unable to read the parameters file ""{0}"", reason: {1}",""
"CommandLine\Strings\Program.zh-CN.resx","FiltersCannotBeUsedWithFileError","not-updated","Filters cannot be specified on the commandline if filters are also present in the parameter file",""
"CommandLine\Strings\Program.zh-CN.resx","FindLastVersionEntry","not-updated","{0}\t{1}",""
"CommandLine\Strings\Program.zh-CN.resx","ParametersFileOptionLong","not-updated","This option can be used to store some or all of the options given to the commandline client. The file must be a plain text file, UTF-8 encoding is preferred. Each line in the file should be of the format --option=value. The special options --source and --target can be used to override the localpath and the remote destination uri, respectively. The options in this file take precedence over the options provided on the commandline. You cannot specify filters in both the file and on the commandline.",""
"CommandLine\Strings\Program.zh-CN.resx","ParametersFileOptionShort","not-updated","Path to a file with parameters",""
"GUI\ApplicationSetup.zh-CN.resx","OKBtn.Text","not-updated","OK",""
"GUI\ApplicationSetup.zh-CN.resx","SignatureCachePathBrowse.Text","not-updated","...",""
"GUI\HelperControls\DurationEditor.zh-CN.resx","CustomDuration.Error","not-updated","s",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","BrowseFileButton.Text","not-updated","...",""
"GUI\HelperControls\FilterDialog.zh-CN.resx","OKBtn.Text","not-updated","OK",""
"GUI\HelperControls\FolderPathEntry.zh-CN.resx","SizeLabel.Text","not-updated","(...)",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","BytesName","not-updated","bytes",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","BytesPerSecond","not-updated","bytes/s",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","GBName","not-updated","GB",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","GBPerSecond","not-updated","GB/s",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","KBName","not-updated","kB",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","KBPerSecond","not-updated","kB/s",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","MBName","not-updated","MB",""
"GUI\HelperControls\Strings\SizeSelector.zh-CN.resx","MBPerSecond","not-updated","MB/s",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","$this.Text","not-updated","Test Search Selection",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","btnCancel.Text","not-updated","Cancel",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","btnOK.Text","not-updated","OK",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chFile.Text","not-updated","Filename",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chFileExt.Text","not-updated","Ext",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chPath.Text","not-updated","Path",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","chSize.Text","not-updated","Size",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","label1.Text","not-updated","Filters:",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","label2.Text","not-updated","Use context menu to add and remove filters",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","label3.Text","not-updated","Files to be included:",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","lbLoading.Text","not-updated","Scanning files, please wait....",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExclude.Text","not-updated","Exclude",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExcludeFileExt.Text","not-updated","Add file extension filter",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExcludeFileName.Text","not-updated","Add filename filter",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miExcludeFilePath.Text","not-updated","File Path",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miInclude.Text","not-updated","Include",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miIncludeFileExt.Text","not-updated","Add file extension filter",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miIncludeFileName.Text","not-updated","Add filename filer",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","miIncludeFilePath.Text","not-updated","File path",""
"GUI\HelperControls\TestSearchSelection.zh-CN.resx","removeFilterToolStripMenuItem.Text","not-updated","Remove Filter",""
"GUI\RestoreBackup.zh-CN.resx","OKBtn.Text","not-updated","OK",""
"GUI\RestoreBackup.zh-CN.resx","SelectTargetFolder.Text","not-updated","...",""
"GUI\Strings\MainForm.zh-CN.resx","BalloonTip_Running","not-updated","{0}",""
"GUI\Strings\Program.zh-CN.resx","HelpDisplayFormat","not-updated","--{0}: {1}",""
"GUI\Strings\Program.zh-CN.resx","RunbackupGroupCommandDescription","not-updated","Runs all backups in the group with the name supplied. If no group name is supplied, the available backups are displayed. If the group name is not found, an error message is displayed.",""
"GUI\ThrottleControl.zh-CN.resx","$this.Text","not-updated","Throttle control",""
"GUI\ThrottleControl.zh-CN.resx","CancelBtn.Text","not-updated","Cancel",""
"GUI\ThrottleControl.zh-CN.resx","OKBtn.Text","not-updated","OK",""
"GUI\Wizard pages\Add backup\FinishedAdd.zh-CN.resx","TabCommandLine.Text","not-updated","Command Line",""
"GUI\Wizard pages\Add backup\FinishedAdd.zh-CN.resx","TabSummary.Text","not-updated","Summary",""
"GUI\Wizard pages\Add backup\SelectFiles.zh-CN.resx","appdataSize.Text","not-updated","(...)",""
"GUI\Wizard pages\Add backup\SelectFiles.zh-CN.resx","desktopSize.Text","not-updated","(...)",""
"GUI\Wizard pages\Add backup\SelectFiles.zh-CN.resx","myDocumentsSize.Text","not-updated","(...)",""
"GUI\Wizard pages\Add backup\SelectFiles.zh-CN.resx","myMusicSize.Text","not-updated","(...)",""
"GUI\Wizard pages\Add backup\SelectFiles.zh-CN.resx","myPicturesSize.Text","not-updated","(...)",""
"GUI\Wizard pages\Add backup\Strings\SelectFiles.zh-CN.resx","CalculatingSizeMarker","not-updated","(...)",""
"GUI\Wizard pages\Restore\TargetFolder.zh-CN.resx","BrowseFolder.Text","not-updated","...",""
"Library\Backend\CloudFiles\CloudFilesUI.zh-CN.resx","label2.Text","not-updated","CloudFiles API Key",""
"Library\Backend\CloudFiles\CloudFilesUI.zh-CN.resx","label5_2.Text","not-updated","CloudFiles AuthUrl",""
"Library\Backend\CloudFiles\Strings\CloudFiles.zh-CN.resx","DisplayName","not-updated","CloudFiles (Rackspace)",""
"Library\Backend\File\FileUI.zh-CN.resx","BrowseTargetFolder.Text","not-updated","...",""
"Library\Backend\FTP\FTPUI.zh-CN.resx","label6.Text","not-updated","Note: Some FTP servers have trouble dealing with more than 2000 files. For this reason, you are advised to select a large volume size so the number of files is low.",""
"Library\Backend\FTP\Strings\FTPBackend.zh-CN.resx","DescriptionDisableUploadVerifyLong","not-updated","To protect against network failures, every upload will be attempted verified. Use this option to disable this verfication to make the upload faster by more unsafe.",""
"Library\Backend\FTP\Strings\FTPBackend.zh-CN.resx","DescriptionDisableUploadVerifyShort","not-updated","Disable upload verification",""
"Library\Backend\FTP\Strings\FTPBackend.zh-CN.resx","ListVerifyFailure","not-updated","The file {0} was uploaded but not found afterwards, the file listing returned {1}",""
"Library\Backend\FTP\Strings\FTPBackend.zh-CN.resx","ListVerifySizeFailure","not-updated","The file {0} was uploaded but the returned size was {1} and it was expected to be {2}",""
"Library\Backend\SSH\SSHCommonOptions.zh-CN.resx","BrowseForSFTPButton.Text","not-updated","...",""
"Library\Backend\SSH\SSHUI.zh-CN.resx","BrowseForKeyFileButton.Text","not-updated","...",""
"Library\Encryption\GPGCommonOptions.zh-CN.resx","BrowseForGPGPathButton.Text","not-updated","...",""
"Library\Main\Strings\BackendWrapper.zh-CN.resx","AutoCreateFolderFailed","not-updated","Failed to automatically create folder, error message: {0}",""
"Library\Main\Strings\Interface.zh-CN.resx","ErrorRunningBackup","not-updated","An error occurred while running the backup, no files were uploaded: {0}",""
"Library\Main\Strings\Interface.zh-CN.resx","FullBecauseBackendIsEmpty","not-updated","A full backup is made because no existing backup chains were found on the destination",""
"Library\Main\Strings\Interface.zh-CN.resx","FullBecauseFlagWasSet","not-updated","A full backup was forced with the --{0} flag",""
"Library\Main\Strings\Interface.zh-CN.resx","FullBecauseLastFullIsFrom","not-updated","A full backup is made because the latest full backup is from {0} and the full backup threshold is {1}",""
"Library\Main\Strings\Interface.zh-CN.resx","FullBecauseSourceFoldersChanged","not-updated","A full backup is made because the source folders have changed",""
"Library\Main\Strings\Interface.zh-CN.resx","FullBecauseThereAreNIncrementals","not-updated","A full backup is made because the current chain has {0} incremental backups and the full backup threshold is {1}",""
"Library\Main\Strings\Interface.zh-CN.resx","IncrementalBecauseLastFullIsFrom","not-updated","An incremental backup is made because the latest full backup is from {0} and the full backup threshold is {1}",""
"Library\Main\Strings\Interface.zh-CN.resx","IncrementalBecauseNoFlagsWereSet","not-updated","An incremental backup is made because no full backup criteria was found",""
"Library\Main\Strings\Interface.zh-CN.resx","IncrementalBecauseThereAreNIncrementals","not-updated","An incremental backup is made because the current chain has {0} incremental backups and the full backup threshold is {1}",""
"Library\Main\Strings\Interface.zh-CN.resx","StartingOperationMessage","not-updated","The operation {0} has started",""
"Library\Main\Strings\Options.zh-CN.resx","BackendlogdatabaseLong","not-updated","Use this option to specify a path to a file that will store information about backend operations. This option can be used to track down errors by comparing the backend state with the expected backend state.",""
"Library\Main\Strings\Options.zh-CN.resx","BackendlogdatabaseShort","not-updated","Database log of remote operations",""
"Library\Main\Strings\Options.zh-CN.resx","ExcludefilesattributesLong","not-updated","Use this option to exclude files with certain attributes. Use a comma separated list of attribute names to specify more that one. Possible values are: {0}",""
"Library\Main\Strings\Options.zh-CN.resx","ExcludefilesattributesShort","not-updated","Exclude files by attribute",""
"Library\Main\Strings\Options.zh-CN.resx","QuotasizeLong","not-updated","This value can be used to set a known upper limit on the amount of space a backend has. If the backend reports the size itself, this value is ignored",""
"Library\Main\Strings\Options.zh-CN.resx","QuotasizeShort","not-updated","A reported maximum storage",""
"Library\Main\Strings\Options.zh-CN.resx","SnapshotpolicyShort","not-updated","Controls the use of disk snapshots",""
"Library\Main\Strings\Options.zh-CN.resx","SymlinkpolicyLong","not-updated","Using this option to handle symlinks different. The ""{0}"" option will simply record a symlink with its name and destination, and a restore will recreate the symlink as a link. Use the option ""{1}"" to ignore all symlinks and not store any information about them. Previous versions of Duplicati used the setting ""{2}"", which will cause symlinked files to be included and restore as normal files.",""
"Library\Main\Strings\Options.zh-CN.resx","SymlinkpolicyShort","not-updated","Symlink handling",""
"Library\Main\Strings\Options.zh-CN.resx","VssusemappingLong","not-updated","Activate this option to map VSS snapshots to a drive (similar to SUBST, using Win32 DefineDosDevice). This will create temporary drives that are then used to access the contents of a snapshot. This workaround can speed up file access on Windows XP.",""
"Library\Main\Strings\Options.zh-CN.resx","VssusemappingShort","not-updated","Map snapshots to a drive (Windows only)",""
"Library\Main\Strings\RSyncDir.zh-CN.resx","InvalidRelFilenameError","not-updated","Invalid filename detected: {0}, source folders: {1}, error message: {2}",""
"Library\Main\Strings\RSyncDir.zh-CN.resx","SymlinkReadError","not-updated","The symlink information for {0} could not be read: {1}",""
"Library\Utility\Strings\Utility.zh-CN.resx","FormatStringB","not-updated","{0} bytes",""
"Library\Utility\Strings\Utility.zh-CN.resx","FormatStringGB","not-updated","{0:N} GB",""
"Library\Utility\Strings\Utility.zh-CN.resx","FormatStringKB","not-updated","{0:N} KB",""
"Library\Utility\Strings\Utility.zh-CN.resx","FormatStringMB","not-updated","{0:N} MB",""
"Winforms\Controls\PasswordConfirmationDialog.zh-CN.resx","OKBtn.Text","not-updated","OK",""
